tag,status,pipeline,arch,kind,crop_source,margin,aug,lr,overlay,ablation,seed,variant,frozen_val_auc,val_auc,epoch,epochs,train_auc
vgg16_crop_rung7_whole_cuda0917_s2,current,crop,vgg16,transfer,whole,0.20,default,1e-05 (fine-tune),,,2,ladder rung 7; cuda0917,0.6228,0.735,24,49,0.83
vgg16_fusion_context,current,fusion,vgg16,transfer,oracle,0.20 + 1.00,default,1e-05 (fine-tune),,,28,fusion mode = context,0.858,0.8793,6,16,0.867
vgg16_fusion_context_cuda,current,fusion,vgg16,transfer,oracle,0.20 + 1.00,default,1e-05 (fine-tune),,,28,fusion mode = context,0.8566,0.8763,11,36,0.9143
vgg16_fusion_control,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8198,0.8605,13,23,0.8442
vgg16_fusion_control_all,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8226,0.8719,42,52,0.9437
vgg16_fusion_control_all_cuda,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8279,0.8766,32,57,0.9253
vgg16_fusion_control_cuda,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8358,0.8944,40,65,0.9423
vgg16_fusion_control_cuda0917,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8418,0.8888,51,76,0.9618
vgg16_fusion_control_cuda0917_s1,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8575,0.8908,14,39,0.8551
vgg16_fusion_control_cuda0917_s2,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.84,0.8631,6,31,0.8365
vgg16_fusion_control_s1_cuda,current,fusion,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,fusion mode = control,0.8617,0.8842,25,50,0.8791
